system:index, MIN_B8, MIN_B8_5perc,DATE,MIN_B4,MIN_B4_5perc,PATH,ROW,SCENE_ID,.geo
0,0.5072078108787537,0.6514034758615231,2015-01-03,0.4913927912712097,0.6423374076723349,1.0,110.0,LC08_L1GT_001110_20150103_20170415_01_T2,
1,0.3918638229370117,0.5994824321628164,2015-01-19,0.373921275138855,0.5917491436461276,1.0,110.0,LC08_L1GT_001110_20150119_20170413_01_T2,
2,0.33668193221092224,0.5762769825105055,2015-02-04,0.3859041631221771,0.5763344948575424,1.0,110.0,LC08_L1GT_001110_20150204_20170413_01_T2,
3,0.1756334751844406,0.35362999905451786,2015-02-20,0.1679876744747162,0.3615683398263697,1.0,110.0,LC08_L1GT_001110_20150220_20170412_01_T2,
4,0.09977609664201736,0.513487354587975,2016-01-06,0.07664067298173904,0.5059065880427096,1.0,110.0,LC08_L1GT_001110_20160106_20170404_01_T2,
5,0.15751923620700836,0.3185194681356702,2016-01-22,0.14584966003894806,0.3183163843018824,1.0,110.0,LC08_L1GT_001110_20160122_20170405_01_T2,
6,0.1591482162475586,0.3108358949631347,2016-02-07,0.15233750641345978,0.30676834485905946,1.0,110.0,LC08_L1GT_001110_20160207_20170330_01_T2,
7,0.12249916791915894,0.36130349961368285,2016-02-23,0.11532372236251831,0.361369811033419,1.0,110.0,LC08_L1GT_001110_20160223_20170329_01_T2,
8,0.4477806091308594,0.591909813799599,2018-01-11,0.42313387989997864,0.5761651053352465,1.0,110.0,LC08_L1GT_001110_20180111_20180119_01_T2,
9,0.254096657037735,0.4866178075040862,2018-01-27,0.23040330410003662,0.47501256366655487,1.0,110.0,LC08_L1GT_001110_20180127_20180207_01_T2,
10,0.2220928966999054,0.5062994749830696,2018-02-12,0.19934962689876556,0.5020118750004121,1.0,110.0,LC08_L1GT_001110_20180212_20180222_01_T2,
11,0.26161855459213257,0.4404256677100803,2018-02-28,0.25909388065338135,0.44715463134443184,1.0,110.0,LC08_L1GT_001110_20180228_20180308_01_T2,
12,0.0726877748966217,0.09527481457676358,2019-01-14,0.01432365458458662,0.07594136015903553,1.0,110.0,LC08_L1GT_001110_20190114_20190131_01_T2,
13,0.17798617482185364,0.2946926577741699,2019-01-30,0.1534910947084427,0.26762966698763685,1.0,110.0,LC08_L1GT_001110_20190130_20190206_01_T2,
14,0.13981546461582184,0.5490084356424093,2019-02-15,0.11376989632844925,0.5489931155392225,1.0,110.0,LC08_L1GT_001110_20190215_20190222_01_T2,
15,0.1305515021085739,0.5885306966290688,2015-01-10,0.10519661754369736,0.5738603004007315,2.0,110.0,LC08_L1GT_002110_20150110_20170415_01_T2,
16,0.5492486357688904,0.6388094704343866,2015-01-26,0.5550894737243652,0.6386435216981023,2.0,110.0,LC08_L1GT_002110_20150126_20170413_01_T2,
17,0.5426855087280273,0.598633397302699,2015-02-27,0.5454002022743225,0.6024276772981445,2.0,110.0,LC08_L1GT_002110_20150227_20170412_01_T2,
18,0.24901986122131348,0.3337314667904383,2016-01-13,0.23172838985919952,0.3181733307471223,2.0,110.0,LC08_L1GT_002110_20160113_20170405_01_T2,
19,0.0642303079366684,0.10335650539412725,2016-01-29,0.006020266562700272,0.09783922439543884,2.0,110.0,LC08_L1GT_002110_20160129_20170330_01_T2,
20,0.05568106472492218,0.06492453043788365,2016-02-14,0.042176518589258194,0.04934748246063708,2.0,110.0,LC08_L1GT_002110_20160214_20170329_01_T2,
21,0.10304101556539536,0.6463934693604572,2018-01-02,0.06655412167310715,0.6346301359057842,2.0,110.0,LC08_L1GT_002110_20180102_20180102_01_T2,
22,0.6082611680030823,0.6474179319130379,2018-01-18,0.6025435328483582,0.6434792559717625,2.0,110.0,LC08_L1GT_002110_20180118_20180206_01_T2,
23,0.38079991936683655,0.5800518558659535,2018-02-03,0.35936400294303894,0.5798608191127314,2.0,110.0,LC08_L1GT_002110_20180203_20180220_01_T2,
24,0.44864699244499207,0.5331989597429508,2018-02-19,0.4392344355583191,0.5293686674822798,2.0,110.0,LC08_L1GT_002110_20180219_20180308_01_T2,
25,0.607526421546936,0.6762022993687925,2019-01-05,0.608295738697052,0.6787868625257121,2.0,110.0,LC08_L1GT_002110_20190105_20190130_01_T2,
26,0.11774113029241562,0.607391400452285,2019-01-21,0.09774509072303772,0.6057082620085446,2.0,110.0,LC08_L1GT_002110_20190121_20190201_01_T2,
27,0.3335038125514984,0.5724197375783763,2019-02-06,0.3284911513328552,0.572544791464932,2.0,110.0,LC08_L1GT_002110_20190206_20190221_01_T2,
28,0.0844823345541954,0.5265626739371907,2019-02-22,0.010446740314364433,0.5341742824987661,2.0,110.0,LC08_L1GT_002110_20190222_20190308_01_T2,
29,0.1859937310218811,0.45137049988659766,2019-02-13,0.15322181582450867,0.4359855362621683,3.0,109.0,LC08_L1GT_003109_20190213_20190222_01_T2,
30,0.06203024461865425,0.08214387667958627,2014-01-14,0.017080239951610565,0.05852765424467213,3.0,110.0,LC08_L1GT_003110_20140114_20170426_01_T2,
31,0.25178083777427673,0.6736964319559888,2015-01-01,0.2537679076194763,0.6620288706335831,3.0,110.0,LC08_L1GT_003110_20150101_20170415_01_T2,
32,0.13640478253364563,0.5450035962837632,2015-01-17,0.11235620081424713,0.5334038854207009,3.0,110.0,LC08_L1GT_003110_20150117_20170413_01_T2,
33,0.5866116881370544,0.6612497040682477,2015-02-02,0.588508129119873,0.6649898920895663,3.0,110.0,LC08_L1GT_003110_20150202_20170413_01_T2,
34,0.4706973135471344,0.6229622027301832,2015-02-18,0.45371121168136597,0.6232148329872315,3.0,110.0,LC08_L1GT_003110_20150218_20170412_01_T2,
35,0.1150473952293396,0.4980511519070836,2016-01-04,0.12791550159454346,0.4960059607439524,3.0,110.0,LC08_L1GT_003110_20160104_20170404_01_T2,
36,0.14839260280132294,0.19734441188167032,2016-01-20,0.13704167306423187,0.18556957411175448,3.0,110.0,LC08_L1GT_003110_20160120_20170405_01_T2,
37,0.07405541837215424,0.12082413728197033,2016-02-05,0.049748193472623825,0.10490891141102016,3.0,110.0,LC08_L1GT_003110_20160205_20170330_01_T2,
38,0.05402505025267601,0.06809489152412572,2016-02-21,0.040838707238435745,0.056525248320691564,3.0,110.0,LC08_L1GT_003110_20160221_20170329_01_T2,
39,0.5366273522377014,0.6179411027201994,2018-01-09,0.5188863277435303,0.6085777017631028,3.0,110.0,LC08_L1GT_003110_20180109_20180119_01_T2,
40,0.10547076910734177,0.6682761675970894,2018-01-25,0.0660170391201973,0.6681649527239962,3.0,110.0,LC08_L1GT_003110_20180125_20180206_01_T2,
41,0.19206732511520386,0.3963000531888128,2018-02-10,0.1968919336795807,0.3810614543809689,3.0,110.0,LC08_L1GT_003110_20180210_20180222_01_T2,
42,0.41045719385147095,0.5108125238562619,2018-02-26,0.4100308418273926,0.514588030127986,3.0,110.0,LC08_L1GT_003110_20180226_20180308_01_T2,
43,0.07161526381969452,0.264218582759167,2019-01-12,0.030157772824168205,0.2699929735091265,3.0,110.0,LC08_L1GT_003110_20190112_20190131_01_T2,
44,0.08990561217069626,0.5139182108584347,2019-01-28,0.03367772325873375,0.4978370179225058,3.0,110.0,LC08_L1GT_003110_20190128_20190206_01_T2,
45,0.16642804443836212,0.2794033474413657,2019-02-13,0.15414074063301086,0.2792308283583753,3.0,110.0,LC08_L1GT_003110_20190213_20190222_01_T2,
46,0.05497801676392555,0.06416583188462267,2019-02-04,0.011073463596403599,0.042699601734837334,4.0,109.0,LC08_L1GT_004109_20190204_20190221_01_T2,
47,0.09936397522687912,0.5337838584647172,2019-02-20,0.0745360478758812,0.5509619470732325,4.0,109.0,LC08_L1GT_004109_20190220_20190308_01_T2,
48,0.5391544699668884,0.6102864900650652,2015-01-08,0.5362266898155212,0.6005107646978582,4.0,110.0,LC08_L1GT_004110_20150108_20170415_01_T2,
49,0.47334426641464233,0.5803493171997486,2015-01-24,0.46180424094200134,0.5799496491782166,4.0,110.0,LC08_L1GT_004110_20150124_20170413_01_T2,
50,0.5263903737068176,0.5985311439485075,2015-02-09,0.5336148738861084,0.606384982105847,4.0,110.0,LC08_L1GT_004110_20150209_20170413_01_T2,
51,0.05600647255778313,0.06799483676980196,2016-01-11,0.02312331646680832,0.048722035306912374,4.0,110.0,LC08_L1GT_004110_20160111_20170405_01_T2,
52,0.22008424997329712,0.3611477535588105,2016-01-27,0.20962192118167877,0.3651871285773831,4.0,110.0,LC08_L1GT_004110_20160127_20170330_01_T2,
53,0.2728642523288727,0.3964074938110037,2016-02-12,0.27532070875167847,0.4003743635000843,4.0,110.0,LC08_L1GT_004110_20160212_20170330_01_T2,
54,0.4259609580039978,0.504935350613042,2016-02-28,0.4346514940261841,0.5204755263324827,4.0,110.0,LC08_L1GT_004110_20160228_20170329_01_T2,
55,0.24971584975719452,0.5838352897874917,2018-01-16,0.23552042245864868,0.5804224842594213,4.0,110.0,LC08_L1GT_004110_20180116_20180205_01_T2,
56,0.41680729389190674,0.5642662526363473,2018-02-01,0.391408234834671,0.556587651756828,4.0,110.0,LC08_L1GT_004110_20180201_20180220_01_T2,
57,0.5094841718673706,0.5732882354792631,2018-02-17,0.5179949998855591,0.5770983667523403,4.0,110.0,LC08_L1GT_004110_20180217_20180307_01_T2,
58,0.5106698870658875,0.6299039007121732,2019-01-03,0.4929903745651245,0.6306962758691569,4.0,110.0,LC08_L1GT_004110_20190103_20190130_01_T2,
59,0.20420122146606445,0.4391804245499479,2019-01-19,0.19967304170131683,0.4392010866831728,4.0,110.0,LC08_L1GT_004110_20190119_20190201_01_T2,
60,0.05709906294941902,0.06813659934645502,2019-02-04,0.02607283741235733,0.049980915398442835,4.0,110.0,LC08_L1GT_004110_20190204_20190221_01_T2,
61,0.0615554004907608,0.08998234223584692,2019-02-20,0.042064692825078964,0.07453919250476877,4.0,110.0,LC08_L1GT_004110_20190220_20190308_01_T2,
62,,0.678936779499054,2014-01-05,,,4.0,111.0,LC08_L1GT_004111_20140105_20170427_01_T2,
63,0.7948383688926697,0.800199568271637,2015-01-08,0.7971360087394714,0.7971360087394714,4.0,111.0,LC08_L1GT_004111_20150108_20170415_01_T2,
64,0.7000359296798706,0.7035485506057739,2015-01-24,0.7059608697891235,0.7059608697891235,4.0,111.0,LC08_L1GT_004111_20150124_20170413_01_T2,
65,0.5984501838684082,0.5984501838684082,2015-02-09,,,4.0,111.0,LC08_L1GT_004111_20150209_20170413_01_T2,
66,0.19470295310020447,0.5169278727584625,2016-01-11,0.34349527955055237,0.48995909094810486,4.0,111.0,LC08_L1GT_004111_20160111_20170405_01_T2,
67,0.5410858392715454,0.5423785347104725,2016-01-27,0.5469328165054321,0.553732693195343,4.0,111.0,LC08_L1GT_004111_20160127_20170330_01_T2,
68,0.345145046710968,0.345145046710968,2016-02-12,0.34236201643943787,0.34236201643943787,4.0,111.0,LC08_L1GT_004111_20160212_20170330_01_T2,
69,0.5430143475532532,0.5429475903511047,2016-02-28,0.5619000792503357,0.5619000792503357,4.0,111.0,LC08_L1GT_004111_20160228_20170329_01_T2,
70,0.6337827444076538,0.6337827444076538,2017-01-13,0.6296087503433228,0.6316563487052917,4.0,111.0,LC08_L1GT_004111_20170113_20170311_01_T2,
71,0.0657549574971199,0.06602135300636292,2017-01-29,0.048306141048669815,0.049638111144304276,4.0,111.0,LC08_L1GT_004111_20170129_20170214_01_T2,
72,0.5019656419754028,0.5108950138092041,2018-01-16,0.4844673275947571,0.4844673275947571,4.0,111.0,LC08_L1GT_004111_20180116_20180205_01_T2,
73,0.6203961372375488,0.6279083490371704,2019-01-03,0.6105926632881165,0.6254385052420569,4.0,111.0,LC08_L1GT_004111_20190103_20190130_01_T2,
74,0.6702378392219543,0.6751741766929626,2019-01-19,0.6761940717697144,0.7016100287437439,4.0,111.0,LC08_L1GT_004111_20190119_20190201_01_T2,
75,0.24821317195892334,0.35256256196715613,2019-02-11,0.24662894010543823,0.35335554799525926,5.0,109.0,LC08_L1GT_005109_20190211_20190222_01_T2,
76,0.4755920469760895,0.5381405849601623,2019-02-27,0.48484209179878235,0.5489740297497816,5.0,109.0,LC08_L1GT_005109_20190227_20190309_01_T2,
77,0.05137411504983902,0.05699908351558596,2014-01-12,-0.0018105414928868413,0.03722503870803599,5.0,110.0,LC08_L1GT_005110_20140112_20170426_01_T2,
78,0.6391056180000305,0.6984368689306851,2015-01-15,0.6412555575370789,0.704112673105927,5.0,110.0,LC08_L1GT_005110_20150115_20170414_01_T2,
79,0.4563562870025635,0.5758035298316708,2015-01-31,0.40780407190322876,0.5725203150421249,5.0,110.0,LC08_L1GT_005110_20150131_20170413_01_T2,
80,0.5198612809181213,0.5732958841040663,2015-02-16,0.5075516104698181,0.5727094641018414,5.0,110.0,LC08_L1GT_005110_20150216_20170412_01_T2,
81,0.3679698705673218,0.5254524420924501,2016-01-02,0.3680060803890228,0.5332261394905791,5.0,110.0,LC08_L1GT_005110_20160102_20170404_01_T2,
82,0.4235292971134186,0.48125166552212384,2016-01-18,0.42188969254493713,0.4832502567770504,5.0,110.0,LC08_L1GT_005110_20160118_20170405_01_T2,
83,0.063984215259552,0.10367495822906808,2016-02-03,0.04576648771762848,0.08779340537218568,5.0,110.0,LC08_L1GT_005110_20160203_20170330_01_T2,
84,0.052976690232753754,0.05813176926221525,2016-02-19,0.01949498988687992,0.042105353019451716,5.0,110.0,LC08_L1GT_005110_20160219_20170329_01_T2,
85,0.41674816608428955,0.6268265973270079,2018-01-07,0.4284230172634125,0.6189596508305043,5.0,110.0,LC08_L1GT_005110_20180107_20180119_01_T2,
86,0.08005162328481674,0.6294748537400384,2018-01-23,0.029441477730870247,0.6287871261877483,5.0,110.0,LC08_L1GT_005110_20180123_20180206_01_T2,
87,0.34506112337112427,0.5291345457020517,2018-02-08,0.36740219593048096,0.5217100462339543,5.0,110.0,LC08_L1GT_005110_20180208_20180221_01_T2,
88,0.12657120823860168,0.3965961196183527,2018-02-24,0.09907876700162888,0.38470612312055597,5.0,110.0,LC08_L1GT_005110_20180224_20180308_01_T2,
89,0.11110402643680573,0.4387704415214284,2019-01-10,0.1001395657658577,0.4354658290880536,5.0,110.0,LC08_L1GT_005110_20190110_20190131_01_T2,
90,0.12867006659507751,0.41609787955366095,2019-01-26,0.09036751091480255,0.4161484409615266,5.0,110.0,LC08_L1GT_005110_20190126_20190206_01_T2,
91,0.15258745849132538,0.2638516873498626,2019-02-11,0.13899490237236023,0.2561299981285329,5.0,110.0,LC08_L1GT_005110_20190211_20190222_01_T2,
