system:index, MIN_B3, MIN_B3_5perc,MIN_B4,MIN_B4_5perc,SCENE_ID,TILE,.geo
0,5488,5935.47805764736,5673,6193.033068930844,S2A_OPER_MSI_L1C_TL_SGS__20160101T170442_A002752_T19DFJ_N02.01,19DFJ,
1,6797,6822.883426966291,7165,7190.449922958397,S2A_OPER_MSI_L1C_TL_SGS__20160101T170442_A002752_T19EFK_N02.01,19EFK,
2,6221,6483.093460734548,6445,6775.061934585942,S2A_OPER_MSI_L1C_TL_SGS__20160101T170442_A002752_T20DMP_N02.01,20DMP,
3,3116,4562.235269181857,3126,4720.193606321838,S2A_OPER_MSI_L1C_TL_SGS__20160101T170442_A002752_T20EMQ_N02.01,20EMQ,
4,5951,6227.2299138170665,6297,6587.29688273132,S2A_OPER_MSI_L1C_TL_SGS__20160101T170442_A002752_T20EMR_N02.01,20EMR,
5,6256,6546.5379537953795,6631,6942.016736401673,S2A_OPER_MSI_L1C_TL_SGS__20160101T170442_A002752_T20ENQ_N02.01,20ENQ,
6,2608,3630.19889892716,2561,3725.273518892863,S2A_OPER_MSI_L1C_TL_SGS__20160101T170442_A002752_T20ENR_N02.01,20ENR,
7,1526,2184.8666152659994,1373,2128.435450236967,S2A_OPER_MSI_L1C_TL_SGS__20160101T170442_A002752_T20ENS_N02.01,20ENS,
8,1486,1688.8374905517765,1295,1559.196428571429,S2A_OPER_MSI_L1C_TL_SGS__20160101T170442_A002752_T20EPS_N02.01,20EPS,
9,1831,1849.0,1719,1733.5320855614968,S2A_OPER_MSI_L1C_TL_SGS__20160101T170442_A002752_T21EUM_N02.01,21EUM,
10,4956,5527.635729239359,5089,5782.461634521993,S2A_OPER_MSI_L1C_TL_SGS__20160101T183152_A002752_T18DXK_N02.01,18DXK,
11,5473,6136.342809148472,5660,6295.887071891392,S2A_OPER_MSI_L1C_TL_SGS__20160101T183152_A002752_T18DXL_N02.01,18DXL,
12,4954,5510.7752606255,5083,5766.680564674984,S2A_OPER_MSI_L1C_TL_SGS__20160101T183152_A002752_T19DDE_N02.01,19DDE,
13,5038,5863.146743787489,5108,6032.354709231775,S2A_OPER_MSI_L1C_TL_SGS__20160101T183152_A002752_T19DDF_N02.01,19DDF,
14,4567,5479.0498424185835,4765,5679.914160869315,S2A_OPER_MSI_L1C_TL_SGS__20160101T183152_A002752_T19DDG_N02.01,19DDG,
15,5585,5702.607206032957,5779,5927.5634911708485,S2A_OPER_MSI_L1C_TL_SGS__20160101T183152_A002752_T19DDH_N02.01,19DDH,
16,5573,5895.25775577558,5779,6136.6523088569265,S2A_OPER_MSI_L1C_TL_SGS__20160101T183152_A002752_T19DEH_N02.01,19DEH,
17,6364,6531.0902004454365,6719,6900.238735177865,S2A_OPER_MSI_L1C_TL_SGS__20160101T183152_A002752_T19DEJ_N02.01,19DEJ,
